name,total_downloads
bundler,39854274
concurrent-ruby,14472777
json,14441636
aws-sdk-core,13907301
i18n,13708102
public_suffix,13503283
activesupport,13439276
aws-partitions,13407853
aws-sigv4,13343035
nokogiri,13302674
rake,13080208
rack,13058962
minitest,12511950
addressable,12139022
rexml,11947261
faraday,11901904
tzinfo,11856674
aws-eventstream,11836185
racc,11245806
unicode-display_width,11244261
ffi,11089255
faraday-net_http,10849012
base64,10702488
jmespath,10317167
bigdecimal,9966125
connection_pool,9842556
mini_mime,9834830
thor,9791170
parser,9395641
jwt,9106110
logger,9100509
zeitwerk,9095009
aws-sdk-s3,8931448
parallel,8904688
multi_json,8813205
aws-sdk-kms,8689770
ast,8678054
regexp_parser,8672833
diff-lcs,8445677
rspec-support,8358142
activemodel,8339688
rubyzip,8215652
rspec-core,8167447
webrick,8155518
builder,8132051
rspec-mocks,8075446
rspec-expectations,8068467
rainbow,8065064
rubocop,8039249
loofah,7814204
multipart-post,7799671
ruby-progressbar,7716911
activerecord,7656000
rubocop-ast,7621084
actionview,7619170
rack-test,7592565
erubi,7511584
rails-html-sanitizer,7470670
actionpack,7437339
tilt,7420806
websocket-driver,7362241
nio4r,7323780
net-imap,7174608
railties,7136508
http-cookie,7019626
method_source,6995157
activejob,6949551
actionmailer,6937033
timeout,6870910
rails,6841480
actioncable,6740346
domain_name,6688061
activestorage,6669156
rails-dom-testing,6648957
mime-types,6602258
mime-types-data,6572520
globalid,6517536
crass,6513083
net-smtp,6507894
mail,6458364
faraday-multipart,6457595
multi_xml,6448348
rspec,6417488
actiontext,6412959
actionmailbox,6411953
puma,6375224
excon,6154600
faraday-retry,6105736
knapsack,6078672
websocket-extensions,6077568
marcel,5929550
language_server-protocol,5861514
date,5856987
dotenv,5853385
pry,5843909
coderay,5816424
msgpack,5767095
net-protocol,5576020
googleauth,5568557
google-protobuf,5536421
drb,5358335
rack-protection,5291203
signet,5249279
faraday-net_http_persistent,5225592
os,5211143
uri,5185763
httpclient,5133636
netrc,5128100
sprockets,5121119
docile,5064241
hashie,5027449
redis,5007166
simplecov-html,4985633
httparty,4972834
net-http,4915674
simplecov,4873615
pg,4843842
sprockets-rails,4788100
terminal-table,4699343
rubocop-performance,4698474
bootsnap,4576816
rb-fsevent,4559567
net-pop,4557012
hashdiff,4511278
faraday-excon,4485250
rouge,4466389
mini_magick,4462553
google-cloud-env,4444122
csv,4426004
retriable,4364700
rb-inotify,4364699
byebug,4336206
bcrypt,4321625
simplecov_json_formatter,4320489
ruby2_keywords,4319910
uber,4264991
rack-session,4264574
rubocop-rails,4263568
google-apis-core,4239785
representable,4238721
declarative,4217032
securerandom,4180331
psych,4176647
crack,4136812
webmock,4113021
trailblazer-option,4078970
benchmark,4072567
sawyer,4064072
rspec-rails,4051223
reline,4019846
selenium-webdriver,3999187
octokit,3963860
factory_bot,3955541
faraday-httpclient,3948774
faraday-em_http,3939220
faraday-em_synchrony,3938155
rdoc,3920971
irb,3918727
io-console,3907724
listen,3896220
request_store,3891197
faraday-rack,3884706
mini_portile2,3877185
rubocop-rspec,3873139
faraday-patron,3872567
rest-client,3863682
mutex_m,3842962
eventmachine,3817984
capybara,3778303
digest-crc,3760687
bootboot,3753967
google-cloud-core,3751831
faraday_middleware,3749700
xpath,3712404
google-cloud-errors,3670054
redis-client,3655358
websocket,3636720
stringio,3555569
tty-screen,3531573
factory_bot_rails,3500620
mustermann,3472946
http-accept,3462077
faker,3433807
ethon,3430958
typhoeus,3428718
tty-cursor,3392057
dry-core,3381432
responders,3374117
unf_ext,3346591
net-ssh,3342619
oj,3335011
unf,3321302
daemons,3239832
execjs,3224072
dry-inflector,3211781
google-apis-storage_v1,3202754
warden,3178378
rack-cors,3149033
unicode-emoji,3093969
dry-types,3093450
shoulda-matchers,3092764
launchy,3090201
google-apis-iamcredentials_v1,3084906
dry-logic,3076506
colored2,3072124
aws-sdk-ec2,3070569
matrix,3067347
google-cloud-storage,3064677
rspec_junit_formatter,3062163
devise,3055705
claide,3054193
rackup,3047803
orm_adapter,3045124
version_gem,3041579
oauth2,3006062
kaminari-core,2995582
kaminari,2962927
kramdown,2959785
sinatra,2951740
kaminari-activerecord,2947495
kaminari-actionview,2940220
sidekiq,2909412
highline,2899104
sentry-ruby,2894162
pry-byebug,2889873
fugit,2871840
et-orbi,2851576
snaky_hash,2837880
plist,2832103
raabro,2812400
temple,2804267
graphql,2802722
googleapis-common-protos-types,2789690
thin,2783690
ffi-compiler,2780321
http,2738074
CFPropertyList,2730613
git,2713103
htmlentities,2708064
http-form_data,2694250
thread_safe,2694189
xcodeproj,2661655
sorbet-runtime,2627023
jbuilder,2619720
formatador,2617679
ostruct,2589314
debug_inspector,2558738
nkf,2558354
binding_of_caller,2540951
brakeman,2531835
omniauth,2530080
nap,2529326
kramdown-parser-gfm,2524832
lograge,2511852
net-http-persistent,2509069
spring,2502347
rails-controller-testing,2462122
aws-sdk-sqs,2434302
pry-rails,2426010
grpc,2425057
database_cleaner-active_record,2422408
database_cleaner-core,2420632
rchardet,2405893
google-apis-androidpublisher_v3,2403411
llhttp-ffi,2387494
rubygems-update,2292795
rubocop-factory_bot,2283209
rubocop-capybara,2268805
elasticsearch-api,2247940
fastimage,2242872
elasticsearch,2242386
css_parser,2238536
omniauth-oauth2,2213472
babosa,2210557
wisper,2204552
chunky_png,2202039
uniform_notifier,2201369
rotp,2194476
awesome_print,2183174
debug,2168197
sentry-rails,2160795
pastel,2153656
tty-color,2148541
fastlane,2146099
bullet,2136749
paper_trail,2135994
stackprof,2134768
fluent-plugin-kubernetes_metadata_filter,2119703
nanaimo,2114714
sassc,2106970
aws-sdk-ssm,2065044
redis-namespace,2063705
timecop,2059392
ed25519,2058268
