name,total_downloads,latest_release,has_attestation
bundler,55626935,2025-03-13 20:00:49.470926,False
nokogiri,23151510,2025-03-14 15:42:31.136928,False
concurrent-ruby,21709891,2025-01-15 21:35:44.564414,False
json,20088185,2025-03-12 13:08:49.552044,False
i18n,19593569,2025-01-19 22:49:28.777815,False
rack,19229582,2025-03-10 21:22:27.448542,False
activesupport,18867892,2025-03-12 03:08:42.384581,False
public_suffix,18740602,2024-07-23 07:25:15.564324,False
aws-partitions,18714582,2025-03-17 19:15:54.954106,False
aws-sdk-core,18295591,2025-03-06 20:09:44.449092,False
rexml,18015989,2025-02-16 07:44:46.623824,False
rake,17807681,2024-04-05 06:28:16.188879,False
aws-eventstream,17630500,2025-03-06 20:08:47.161249,False
aws-sigv4,17374052,2025-01-10 20:06:12.448705,False
faraday,17355761,2024-12-09 10:52:08.36394,True
tzinfo,17283463,2023-04-10 12:46:10.51018,False
addressable,17162700,2024-06-21 10:46:38.432724,False
base64,17011205,2024-10-16 05:24:23.37523,False
minitest,16981309,2025-03-12 19:41:37.08765,False
unicode-display_width,16693817,2025-01-13 12:14:26.662682,False
racc,16217874,2024-07-30 07:13:03.466365,False
faraday-net_http,16144104,2024-11-13 09:07:17.311379,False
connection_pool,15448636,2025-01-07 20:27:18.212961,False
mini_mime,14910930,2023-08-08 09:46:39.225706,False
logger,14869474,2025-02-13 09:28:15.937507,True
thor,14556956,2024-08-29 17:37:22.479814,False
parser,14506583,2025-02-05 07:38:20.396476,False
bigdecimal,14479625,2024-12-26 04:51:32.87847,False
ffi,14251018,2024-12-30 21:10:27.160012,False
jmespath,14165486,2022-11-25 16:46:38.780365,False
zeitwerk,14087789,2025-02-18 08:30:36.553765,False
ast,13428541,2021-01-23 18:56:53.214946,False
parallel,13338899,2024-08-16 15:12:22.556191,False
diff-lcs,13326396,2025-02-13 05:24:48.247909,False
multi_json,12686826,2020-07-10 04:55:35.160182,False
rubocop,12496009,2025-03-13 08:24:25.891999,False
rspec-support,12471872,2024-12-02 22:55:22.440742,False
rspec-core,12446897,2025-02-06 11:53:00.037751,False
regexp_parser,12223270,2024-12-25 10:42:18.890317,False
rspec-expectations,12143629,2024-09-07 09:34:03.775219,False
rainbow,12137278,2022-01-11 09:11:07.407946,False
rspec-mocks,12112656,2024-10-02 14:11:50.727284,False
jwt,12057021,2025-01-25 10:16:59.998185,False
builder,12007218,2024-06-06 16:22:32.091386,False
rubyzip,11984610,2025-02-08 18:51:04.813517,False
activemodel,11971476,2025-03-12 03:08:44.314495,False
aws-sdk-kms,11851140,2025-02-18 20:14:27.314021,False
rubocop-ast,11767269,2025-03-16 05:26:23.392042,False
aws-sdk-s3,11564274,2025-02-18 21:06:04.595131,False
ruby-progressbar,11441198,2023-03-04 06:44:46.418864,False
loofah,11183521,2025-01-01 03:05:09.771463,False
websocket-driver,11127391,2025-01-04 11:25:47.224284,False
rack-test,11044630,2024-12-23 18:51:11.601355,False
multipart-post,10986116,2024-05-07 10:09:00.468268,False
timeout,10967911,2024-12-16 03:53:44.782799,True
erubi,10919386,2024-12-19 17:12:27.766055,False
nio4r,10904187,2024-10-28 20:55:58.082599,False
actionview,10813045,2025-03-12 03:08:48.862361,False
rails-html-sanitizer,10774644,2024-12-12 21:00:51.985254,False
activerecord,10698916,2025-03-12 03:08:46.620601,False
net-imap,10532936,2025-02-07 21:33:05.911694,True
